Date,Open,High,Low,Close,Turnover (Rs. Cr)
17-Nov-98,855.45,861.65,854.55,860,589.47
18-Nov-98,862.9,876.15,862.9,875.05,579.36
19-Nov-98,875.75,878.85,864.3,865.1,799.89
20-Nov-98,865.1,867.7,855.35,857.95,668.13
21-Nov-98,857.85,857.95,853.95,857.4,152.89
23-Nov-98,856.4,856.4,844.85,847.55,494.9
24-Nov-98,850.05,851.55,840.75,841.75,666.02
26-Nov-98,838.85,843.55,821.4,824.45,571.12
27-Nov-98,823.3,824.65,810.3,812.45,638.96
28-Nov-98,812.7,817.4,804.3,810.85,393.58
30-Nov-98,808.6,817.75,800.1,817.75,599.92
01-Dec-98,816.55,820.85,812.25,816.65,529.43
02-Dec-98,820.35,826.05,817.35,821.15,542.14
03-Dec-98,821.3,822.5,814.5,817.05,432.39
04-Dec-98,816.15,828.35,813.1,828.35,840.85
07-Dec-98,829.75,846,828.2,845.15,665.41
08-Dec-98,844.95,853.85,840.5,853,655.06
09-Dec-98,855.95,864.7,855.1,856.55,689.41
10-Dec-98,858.6,865.8,858.5,864.4,555.1
11-Dec-98,867.15,874.2,865.7,870,678.82
14-Dec-98,871.65,874.75,861.95,863.6,547.94
15-Dec-98,861,861.1,844.55,845.05,647.17
16-Dec-98,844.65,851.55,836.85,851.55,618.2
17-Dec-98,835.45,845.1,827.9,830.25,747.43
18-Dec-98,830.3,838.8,827.3,835.2,670.51
21-Dec-98,845.6,859.55,845.25,859.3,629.3
22-Dec-98,864.55,864.9,851.35,857.3,755.81
23-Dec-98,866.25,874.65,858.7,858.7,771.71
24-Dec-98,856.3,863.5,854.75,861.1,731.16
28-Dec-98,869.75,882.7,866.25,879.85,911.52
29-Dec-98,876.9,881.25,867.8,872.65,812.86
30-Dec-98,887.4,903.85,887,899.95,1236.86
31-Dec-98,900.55,902.9,884.25,884.25,960.92
01-Jan-99,886.75,892.2,882.6,890.8,807.26
04-Jan-99,896.4,905.45,895.75,897.8,811.39
05-Jan-99,901,907.2,893.15,907.2,876.41
06-Jan-99,923.3,930.55,915.65,928.25,1149.13
07-Jan-99,932.95,961.15,932.95,954.7,1426.68
08-Jan-99,969.95,990.05,966.4,990.05,1494.3
11-Jan-99,1005.15,1016.3,985.6,985.6,1771.62
12-Jan-99,976.7,985.55,953.9,964.45,1209.22
13-Jan-99,980.3,986.25,958.05,961.2,1151.3
14-Jan-99,948,968.4,944.5,954.75,1120.47
15-Jan-99,961.7,967.85,932.25,934.3,1225.34
18-Jan-99,938.65,945.05,922.8,944.9,893.02
19-Jan-99,944.15,948,923.2,924.1,1040.48
